"id_conta;nivel;conta_pai;ordem;descricao;sinal;exibir_dre;auditoria_only;categoria_origem;tipo_conta;formula"
"1;1;;10;RECEITA BRUTA;1;Sim;Não;;;"
"2;2;1;20;RECEITA BRUTA;1;Sim;Não;;;"
"3;3;2;30;Vendas de Produtos;1;Sim;Não;Vendas a Prazo;;"
"4;3;2;40;Revenda de Mercadorias;1;Sim;Não;Venda de Mercadoria;;"
"5;3;2;50;(-) Devolução de Vendas;-1;Sim;Não;;;"
"6;1;;60;IMPOSTOS;-1;Sim;Não;;;"
"7;2;6;70;Impostos sobre Vendas;-1;Sim;Não;;;"
"8;3;7;80;ICMS;-1;Sim;Não;ICMS;;"
"9;3;7;90;Simples Federal;-1;Sim;Não;Simples Federal;;"
"10;3;7;100;IPI;-1;Sim;Não;IPI;;"
"11;3;7;110;PIS;-1;Sim;Não;PIS;;"
"12;3;7;120;COFINS;-1;Sim;Não;COFINS;;"
"13;3;7;130;ISS;-1;Sim;Não;ISS;;"
"14;2;6;140;Impostos sobre Lucros;-1;Sim;Não;;;"
"15;3;14;150;IRPJ;-1;Sim;Não;IRPJ;;"
"16;3;14;160;CSLL;-1;Sim;Não;CSLL;;"
"17;2;6;170;(-) Crédito ICMS e IPI;-1;Sim;Não;;;"
"18;3;17;180;(-) Crédito ICMS;-1;Sim;Não;;;"
"19;3;17;190;(-) Crédito IPI;-1;Sim;Não;;;"
"20;2;6;200;(-) Crédito PIS e COFINS;-1;Sim;Não;;;"
"21;3;20;210;(-) Crédito PIS;-1;Sim;Não;;;"
"22;3;20;220;(-) Crédito COFINS;-1;Sim;Não;;;"
"23;1;;230;DEDUÇÕES DA RECEITA;-1;Sim;Não;;;"
"24;2;23;240;DEDUÇÕES DA RECEITA;-1;Sim;Não;;;"
"25;3;24;250;Taxa de Cartões;-1;Sim;Não;;;"
"26;3;24;260;Taxa de Cobrança;-1;Sim;Não;;;"
"27;3;24;270;Frete sobre Vendas;-1;Sim;Não;Frete Sobre Vendas;;"
"28;3;24;280;Devolução a Clientes;-1;Sim;Não;Devolução à clientes;;"
"29;3;24;290;Descontos Concedidos;-1;Sim;Não;;;"
"30;3;24;300;Comissões sobre Vendas;-1;Sim;Não;Pagamento de Comissões;;"
"31;1;;310;RECEITA LÍQUIDA;1;Sim;Não;;calculada;+1*1 +1*23"
"32;1;;320;CUSTO VARIÁVEL;-1;Sim;Não;;;"
"33;2;32;330;CUSTO DO MATERIAL VENDIDO;-1;Sim;Não;;;"
"34;3;33;340;Consumo de Matéria Prima;-1;Sim;Não;;;"
"35;3;33;350;Consumo de Mercadoria;-1;Sim;Não;;;"
"36;3;33;360;DIFAL;-1;Sim;Não;DIFAL;;"
"37;3;33;370;Embalagens;-1;Sim;Não;Material de Embalagem;;"
"38;3;33;380;Frete sobre Compras;-1;Sim;Não;Fretes Sobre Compras;;"
"39;2;32;390;CUSTOS OPERACIONAIS;-1;Sim;Não;;;"
"40;3;39;400;Ferramentas e Material Auxiliar;-1;Sim;Não;Faca - ferramentas;;"
"40;3;39;400;Ferramentas e Material Auxiliar;-1;Sim;Não;Ferramentas;;"
"40;3;39;400;Ferramentas e Material Auxiliar;-1;Sim;Não;Material Auxiliar para Produção;;"
"41;3;39;410;Mão de Obra de Terceiros;-1;Sim;Não;Mão de Obra de Terceiros;;"
"42;3;39;420;Serviços de Terceiros;-1;Sim;Não;Serviços Terceirizados;;"
"42;3;39;420;Serviços de Terceiros;-1;Sim;Não;ISSQN Retido;;"
"43;3;39;430;Manutenção de Máquinas;-1;Sim;Não;Manutenção de Máq/Equip. Produção;;"
"44;1;;440;MARGEM DE CONTRIBUIÇÃO;1;Sim;Não;;calculada;+1*31 +1*32"
"45;1;;450;DESPESAS FIXAS;-1;Sim;Não;;;"
"46;2;45;460;DESPESAS ADMINISTRATIVAS;-1;Sim;Não;;;"
"47;3;46;470;Pró-Labore;-1;Sim;Não;Pró Labore - Gastos da Diretoria;;"
"48;3;46;480;Aluguel, Condomínio e IPTU;-1;Sim;Não;Aluguel/Condomínio/IPTU;;"
"49;3;46;490;Honorários, Consultorias e Assessorias;-1;Sim;Não;Consultoria e Acessorias;;"
"49;3;46;490;Honorários, Consultorias e Assessorias;-1;Sim;Não;Consultoria e Assessorias;;"
"49;3;46;490;Honorários, Consultorias e Assessorias;-1;Sim;Não;Honorários e Assessorias;;"
"50;3;46;500;Honorários Contábeis;-1;Sim;Não;Contabilidade;;"
"50;3;46;500;Honorários Contábeis;-1;Sim;Não;Contabilidade / Honorarios;;"
"51;3;46;510;Telefone e Internet;-1;Sim;Não;Telefone e Internet;;"
"52;3;46;520;Energia Elétrica;-1;Sim;Não;Energia Elétrica;;"
"53;3;46;530;Energia Fotovoltáica;-1;Sim;Não;Investimento Energia Fotovoltaica - Imobilizado;;"
"53;3;46;530;Energia Fotovoltáica;-1;Sim;Não;Seguro Placa Fotovoltaica;;"
"54;3;46;540;Água e Saneamento;-1;Sim;Não;Água e Saneamento;;"
"55;3;46;550;Assessoria Jurídica;-1;Sim;Não;Consultoria Jurídica/Administrativa;;"
"56;3;46;560;Material de Limpeza e Cozinha;-1;Sim;Não;Material de Limpeza e Copa;;"
"57;3;46;570;Material de Expediente;-1;Sim;Não;Material de Escritório/Informática;;"
"57;3;46;570;Material de Expediente;-1;Sim;Não;Material de expediente;;"
"58;3;46;580;Sistemas de Gestão;-1;Sim;Não;Sistema de Gestão;;"
"59;3;46;590;Informática;-1;Sim;Não;Despesas Com TI;;"
"59;3;46;590;Informática;-1;Sim;Não;Manutenção de informatica;;"
"59;3;46;590;Informática;-1;Sim;Não;Manutenção de Informática;;"
"60;3;46;600;Mensalidades e Associações;-1;Sim;Não;Convênios/Mensalidades;;"
"60;3;46;600;Mensalidades e Associações;-1;Sim;Não;Mensalidade e Associações;;"
"60;3;46;600;Mensalidades e Associações;-1;Sim;Não;Mensalidades e Associações;;"
"61;3;46;610;Registro de Marca;-1;Sim;Não;;;"
"62;3;46;620;Despesas Legais e de Cartório;-1;Sim;Não;Cartórios;;"
"62;3;46;620;Despesas Legais e de Cartório;-1;Sim;Não;Despesas Legais;;"
"62;3;46;620;Despesas Legais e de Cartório;-1;Sim;Não;Licenca de Operacao;;"
"63;3;46;630;Vigilância e Monitoramento;-1;Sim;Não;Segurança;;"
"64;3;46;640;Seguros;-1;Sim;Não;Seguro Predial;;"
"64;3;46;640;Seguros;-1;Sim;Não;Seguro Veiculo;;"
"65;3;46;650;Despesas com Veículos;-1;Sim;Não;Combustível para Veículos;;"
"65;3;46;650;Despesas com Veículos;-1;Sim;Não;Manutenção de Veículos;;"
"65;3;46;650;Despesas com Veículos;-1;Sim;Não;Pedágios, Estacionamentos, Etc.;;"
"66;3;46;660;Manutenção de Instalações;-1;Sim;Não;Manutenção Predial;;"
"67;3;46;670;Outras Despesas Administrativas;-1;Sim;Não;Despesas Diversas não Alocáveis;;"
"67;3;46;670;Outras Despesas Administrativas;-1;Sim;Não;Outras Despesas Administrativas;;"
"68;3;46;680;Lanches e Refeições;-1;Sim;Não;Lanches e Refeições;;"
"69;3;46;690;Despesas Bancárias;-1;Sim;Não;Taxas/Despesas Bancárias;;"
"70;3;46;700;Marketing, Propaganda e Brindes;-1;Sim;Não;Anúncios Classificados / Publicidade Marketing;;"
"70;3;46;700;Marketing, Propaganda e Brindes;-1;Sim;Não;Marketing, Propaganda e Brindes;;"
"71;2;45;710;DESPESAS COM PESSOAL;-1;Sim;Não;;;"
"72;3;71;720;Salários;-1;Sim;Não;Participação de lucros;;"
"72;3;71;720;Salários;-1;Sim;Não;Salários e Antecipações;;"
"73;3;71;730;Provisão 13º Salário;-1;Sim;Não;;;"
"74;3;71;740;Provisão Férias;-1;Sim;Não;;;"
"75;3;71;750;Encargos da Folha;-1;Sim;Não;;;"
"76;4;75;760;INSS / IRRF;-1;Sim;Não;INSS;;"
"77;4;75;770;FGTS;-1;Sim;Não;FGTS;;"
"78;3;71;780;Despesas Rescisórias;-1;Sim;Não;Despesas Rescisórias;;"
"78;3;71;780;Despesas Rescisórias;-1;Sim;Não;Rescisões;;"
"79;3;71;790;Gratificações e Gorjetas;-1;Sim;Não;;;"
"80;3;71;800;Benefícios de Funcionários;-1;Sim;Não;Benefícios de Funcionários;;"
"81;3;71;810;Uniforme e EPI;-1;Sim;Não;Material de Proteção/EPI;;"
"81;3;71;810;Uniforme e EPI;-1;Sim;Não;Uniformes;;"
"82;3;71;820;Medicina do Trabalho;-1;Sim;Não;PPCI;;"
"82;3;71;820;Medicina do Trabalho;-1;Sim;Não;PPRA;;"
"83;3;71;830;Assistência Médica;-1;Sim;Não;Assistência Médica;;"
"84;3;71;840;Seguro de Vida;-1;Sim;Não;Seguro de Vida Funcionários;;"
"85;3;71;850;Cursos e Treinamentos;-1;Sim;Não;Cursos e Treinamentos;;"
"85;3;71;850;Cursos e Treinamentos;-1;Sim;Não;Educação, Cursos, Palestras e Feiras;;"
"86;3;71;860;Reclamatória Trabalhista;-1;Sim;Não;Ações Trabalhistas;;"
"86;3;71;860;Reclamatória Trabalhista;-1;Sim;Não;Reclamatória Trabalhista;;"
"87;3;71;870;Contribuição Sindical;-1;Sim;Não;Contribuição Assistencial;;"
"88;3;71;880;Vale Transporte;-1;Sim;Não;;;"
"89;3;71;890;Auxílio Alimentação;-1;Sim;Não;;;"
"90;1;;900;RESULTADO OPERACIONAL;1;Sim;Não;;calculada;+1*44 +1*45"
"91;1;;910;ENTRADAS NÃO OPERACIONAIS;1;Sim;Não;;;"
"92;2;91;920;ENTRADAS NÃO OPERACIONAIS;1;Sim;Não;;;"
"93;3;92;930;(+) Receitas Financeiras;1;Sim;Não;;;"
"94;3;92;940;(+) Outras Receitas;1;Sim;Não;Outras receitas;;"
"95;3;92;950;(+) Reembolso / Devoluções;1;Sim;Não;;;"
"96;3;92;960;(+) Investimentos em Imóveis;1;Sim;Não;;;"
"97;3;92;970;(+) Rendimentos Financeiros;1;Sim;Não;;;"
"98;3;92;980;(+) Recebimento de Empréstimos;1;Sim;Não;Recebimento de Empréstimos;;"
"99;1;;990;SAÍDAS NÃO OPERACIONAIS;-1;Sim;Não;;;"
"100;2;99;1000;SAÍDAS NÃO OPERACIONAIS;-1;Sim;Não;;;"
"101;3;100;1010;Juros e Multas;-1;Sim;Não;Pagamento de Juros;;"
"102;3;100;1020;IR sobre rendimentos;-1;Sim;Não;;;"
"103;3;100;1030;Pagamento de Empréstimos;-1;Sim;Não;Investimento em Capital de Giro;;"
"103;3;100;1030;Pagamento de Empréstimos;-1;Sim;Não;Pagamento de Empréstimos;;"
"104;3;100;1040;Juros sobre Empréstimos;-1;Sim;Não;;;"
"105;3;100;1050;Pagamento de Parcelamentos de Impostos;-1;Sim;Não;Parcelamento;;"
"106;3;100;1060;Juros sobre Parcelamento de Impostos;-1;Sim;Não;;;"
"107;3;100;1070;Outras Saídas;-1;Sim;Não;;;"
"108;3;100;1080;Consórcios;-1;Sim;Não;Consórcios;;"
"109;3;100;1090;Passivo;-1;Sim;Não;;;"
"110;1;;1100;RESULTADO;1;Sim;Não;;calculada;+1*90 +1*111"
"111;1;;1110;INVESTIMENTOS;-1;Sim;Não;;;"
"112;2;111;1120;INVESTIMENTOS;-1;Sim;Não;;;"
"113;3;112;1130;(-) Venda de Ativo Imobilizado;-1;Sim;Não;;;"
"114;3;112;1140;Investimentos Prediais;-1;Sim;Não;Investimentos em Móveis/Utensílios;;"
"115;3;112;1150;Despesas Patrimoniais;-1;Sim;Não;;;"
"116;3;112;1160;Equipamentos;-1;Sim;Não;Equipamentos;;"
"116;3;112;1160;Equipamentos;-1;Sim;Não;Investimentos em Máq/Equip. Produção;;"
"116;3;112;1160;Equipamentos;-1;Sim;Não;Investimentos em Software/Hardware - Imobilizado;;"
"117;1;;1170;DISTRIBUIÇÃO DOS RESULTADOS;-1;Sim;Não;;;"
"118;2;117;1180;DISTRIBUIÇÃO DOS RESULTADOS;-1;Sim;Não;;;"
"119;3;118;1190;Reserva de Caixa;-1;Sim;Não;;;"
"120;3;118;1200;Gastos Dilson;-1;Sim;Não;Distribuição aos Sócios - Dilson;;"
"120;3;118;1200;Gastos Dilson;-1;Sim;Não;Gastos Dilson;;"
"121;1;;1210;SALDO;1;Sim;Não;;;"
"122;2;121;1220;Distribuição aos Sócios;1;Sim;Não;Distribuição aos Sócios;;"
"123;1;;1230;RESERVADO PROVISÃO;1;Não;Não;;;"
"124;1;;1240;VALORES UTILIZADOS;1;Não;Não;;;"
"125;2;124;1250;VALORES UTILIZADOS;1;Não;Não;;;"
"126;3;125;1260;13º Salário;1;Não;Não;13º Salário;;"
"127;3;125;1270;Férias;1;Não;Não;Férias;;"
"128;1;;1280;SALDO RESERVA;1;Não;Não;;;"
"129;1;;1290;ESTOQUE;1;Não;Não;;;"
"130;2;129;1300;ESTOQUE;1;Não;Não;;;"
"131;3;130;1310;Estoque Inicial;1;Não;Não;;;"
"132;3;130;1320;Estoque Final;1;Não;Não;;;"
