"id_conta;nivel;conta_pai;ordem;descricao;sinal"
"1;1;;10;RECEITA BRUTA;1"
"2;2;1;11;RECEITAS OPERACIONAIS;1"
"3;3;2;12;Consultoria de Negócios;1"
"4;3;2;13;Consultoria em Tecnologia;1"
"5;3;2;14;Logística Operação;1"
"6;3;2;15;Fretes Recebidos;1"
"7;3;2;16;Venda de Cursos;1"
"8;1;;20;DEDUÇÕES DA RECEITA;-1"
"9;2;8;21;DEDUÇÕES E IMPOSTOS;-1"
"10;3;9;22;Descontos incondicionais concedidos;-1"
"11;3;9;23;Impostos retidos em vendas;-1"
"12;3;9;24;Impostos sobre Lucros;-1"
"13;3;9;25;Impostos sobre Vendas;-1"
"14;3;9;26;Tarifas de Cobrança;-1"
"15;1;;30;RECEITA LÍQUIDA;1"
"16;1;;40;CUSTO VARIÁVEL;-1"
"17;2;16;41;CUSTOS OPERACIONAIS;-1"
"18;3;17;42;Comissões de Vendedores;-1"
"19;3;17;43;Consultores (Comercial);-1"
"20;3;17;44;Consultores (Negócios);-1"
"21;3;17;45;Consultores (Tecnologia);-1"
"22;3;17;46;Fretes pagos;-1"
"23;3;17;47;Logística;-1"
"24;3;17;48;Salários Administrativos;-1"
"25;1;;50;MARGEM DE CONTRIBUIÇÃO;1"
"26;1;;60;DESPESAS FIXAS;-1"
"27;2;26;61;COMERCIAIS;-1"
"28;3;27;62;Brindes para Clientes;-1"
"29;3;27;63;Eventos Comerciais;-1"
"30;3;27;64;Marketing e Publicidade;-1"
"31;3;27;65;Viagens e Representações;-1"
"32;2;26;70;ADMINISTRATIVAS;-1"
"33;3;32;71;Pró-labore;-1"
"34;3;32;72;Água e Saneamento;-1"
"35;3;32;73;Aluguel e Condomínio;-1"
"36;3;32;74;Bens de Pequeno Valor;-1"
"37;3;32;75;Despesas Legais e de Cartório;-1"
"38;3;32;76;Energia Elétrica;-1"
"39;3;32;77;Honorários Advocatícios;-1"
"40;3;32;78;Honorários Consultoria;-1"
"41;3;32;79;Honorários Contábeis;-1"
"42;3;32;80;IPTU;-1"
"43;3;32;81;Manutenção das Instalações;-1"
"44;3;32;82;Manutenção de Equipamentos;-1"
"45;3;32;83;Materiais de Expediente;-1"
"46;3;32;84;Outras Despesas Administrativas;-1"
"47;3;32;85;Sistemas de Gestão;-1"
"48;3;32;86;Tarifas Bancárias;-1"
"49;3;32;87;Telefone e Internet;-1"
"50;3;32;88;Vigilância e Segurança;-1"
"51;2;26;90;DESPESAS COM PESSOAL;-1"
"52;3;51;91;13º Salário;-1"
"53;3;51;92;Assistência Médica;-1"
"54;3;51;93;Confraternizações;-1"
"55;3;51;94;Contribuição Sindical;-1"
"56;3;51;95;Cursos e Treinamentos;-1"
"57;3;51;96;Despesas Rescisórias;-1"
"58;3;51;97;FGTS;-1"
"59;3;51;98;Gratificações;-1"
"60;3;51;99;INSS;-1"
"61;3;51;100;Seguro de Vida;-1"
"62;3;51;101;Uniformes;-1"
"63;3;51;102;Vale-Alimentação;-1"
"64;3;51;103;Vale-Transporte;-1"
"65;1;;110;RESULTADO OPERACIONAL;1"
"66;1;;120;RECEITAS FINANCEIRAS;1"
"67;2;66;121;RECEITAS FINANCEIRAS;1"
"68;3;67;122;Aporte de Sócios;1"
"69;3;67;123;Descontos financeiros obtidos;1"
"70;3;67;124;Descontos incondicionais obtidos;1"
"71;3;67;125;Juros recebidos;1"
"72;3;67;126;Multas recebidas;1"
"73;3;67;127;Recebimento de Empréstimos;1"
"74;3;67;128;Rendimentos de Aplicações;1"
"75;1;;130;DESPESAS FINANCEIRAS;-1"
"76;2;75;131;DESPESAS FINANCEIRAS;-1"
"77;3;76;132;Consórcios;-1"
"78;3;76;133;Descontos financeiros concedidos;-1"
"79;3;76;134;Impostos sobre Aplicações;-1"
"80;3;76;135;Juros Conta Garantida;-1"
"81;3;76;136;Juros pagos;-1"
"82;3;76;137;Juros sobre Empréstimos;-1"
"83;3;76;138;Multas pagas;-1"
"84;3;76;139;Pagamento de Empréstimos;-1"
"85;3;76;140;Perdas;-1"
"86;1;;150;PASSIVO;-1"
"87;2;86;151;PASSIVO;-1"
"88;3;87;152;Dívidas com Fornecedores;-1"
"89;3;87;153;Parcelamento de Impostos;-1"
"90;3;87;154;Trabalhista;-1"
"91;1;;160;INVESTIMENTOS;-1"
"92;2;91;161;INVESTIMENTOS;-1"
"93;3;92;162;Computadores e Periféricos;-1"
"94;3;92;163;Imóveis;-1"
"95;3;92;164;Máquinas e Equipamentos;-1"
"96;3;92;165;Obras Civis;-1"
"97;3;92;166;Veículos;-1"
"98;1;;170;RESULTADO;1"
"99;1;;180;DIVISÃO DE LUCROS;-1"
"100;2;99;181;DIVISÃO DE LUCROS;-1"
"101;3;100;182;Distribuição de Lucros;-1"
"102;1;;190;AUDITORIA;0"
"103;2;102;191;AUDITORIA;0"
"104;3;103;192;ANTECIPAÇÃO DE RECEBÍVEIS;0"
"105;3;103;193;DESPESAS A IDENTIFICAR;0"
"106;3;103;194;ANTECIPAÇÕES;0"
"107;3;103;195;Receitas a Identificar;0"
